cod,denumire,cod_fiscal,analitic,tara,judet,adresa,cont_banca,banca,tel,email,grupa,reg_com,delegat,bi_serie,bi_numar,bi_pol,masina,den_agent,discount
00001,EUROVIAL VIAL LIGHTING,RO6742610,4111.00001,RO,CT,Str. NICOLAE FILIMON 23 Constanta,,,0241516611,,,J13/5279/1994,,,,,,CRISTIAN FIRCA,0
00002,HAVELLS SYLVANIA GERM,132496340,4111.00002,DE,,,,,,,,,,,,,,CRISTIAN FIRCA,0
00003,ILLUMINARTE LTD,BG201609928,4111.00003,BG,,"BULGARIA8000 BURGAS, 39 INDUSTRIALNA STR",BG85UNCR7001520138114,UNICREDIT BULBANK AD,,,,,,,,,,CRISTIAN FIRCA,0
00004,MUSETTE GRUP,RO15919038,4111.00004,RO,B,Str. HUEDIN 6 Bucuresti,,,3306424,,,J40/15605/2003,,,,,,CRISTIAN FIRCA,0
00005,INECO ELECTRIC,RO29010053,4111.00005,RO,B,Str. LIVIU REBREANU 15 BUCURESTI,,,0729883913,,,J40/10075/2011,,,,,,FM,0
00006,PARTENER COFFE SERVICES,RO22221282,4111.00006,RO,B,Str. Valea Argesului 11 Bucuresti,,,0213134220,,,J40/14934/2007,,,,,,CRISTIAN FIRCA,0
00007,FEILO SYLVANIA GERMANY GMBH,76022353,4111.00007,DE,,graf zeppelin str 9-12 91056 Erlangen Germany,,,,,,,,,,,,CRISTIAN FIRCA,0
00008,POWER OF LIGHT,RO28781416,4111.00008,RO,B,Str. LAVANDEI 2 BUCURESTI,,,0727032870,,,J40/8199/2011,,,,,,CRISTIAN FIRCA,0
00009,CAFEMAGINATION,26531987,4111.00009,RO,B,Str. PITARUL HRISTACHE 5 Bucuresti,,,-,,,J40/3206/2012,,,,,,CRISTIAN FIRCA,0
00010,TELECOM MAINTEANCE,RO23107848,4111.00010,RO,B,Str. Urziceni 7 BUCURESTI,,,0723301194,,,J40/890/2008,,,,,,FM,0
00011,CONSOLIGHT COM,RO8984971,4111.00011,RO,B,Str. PARGARILOR 11 Bucuresti,RO16BACX0000000456525000,UNICREDIT BANK SA,-,,,J40/9610/1996,,,,,,BOGDAN CRAIOVEANU,0
00012,BLOR RETAIL S.A,RO15704730,4111.00012,RO,B,Str. DRUMUL SABARENI 24-26 Bucuresti,,,0214083136,,,J40/11806/2003,,,,,,BOGDAN CRAIOVEANU,0
00013,TRANSBALKAN INTERNATIONAL   TRAIDING,RO18294707,4111.00013,RO,B,Str. PICTOR GEORGE DEMETRESCU MIREA 11 BUCURESTI,,,0212229002,,,J40/613/2006,,,,,,CRISTIAN FIRCA,0
00014,VERANDA OBOR S.A,RO33599063,4111.00014,RO,B,"SECTOR 2, STR. ZIDURI MOSI, NR.23, CLADIREA CENTRULUI COMERCIAL VERANDA MALL, BIROUL 1",,,-,,,J40/10838/2014,,,,,,CRISTIAN FIRCA,0
00015,TIMISOARA CITY  BUSINESS CENTER ONE,RO17968207,4111.00015,RO,B,Str. BARBU VACARESCU 301-311 Bucuresti,,,0256491042,,,J40/11625/2012,,,,,,BOGDAN CRAIOVEANU,0
00016,MODATIM BUSINESS   FACILITY,RO16216494,4111.00016,RO,B,Str. BARBU VACARESCU 301-311 Bucuresti,,,0733003872,,,J40/1758/2016,,,,,,BOGDAN CRAIOVEANU,0
00017,ROOTS SODA,35621167,4111.00017,RO,B,Spl. Independentei 1 Bucuresti,,,0771707869,,,J40/1801/2016,,,,,,CRISTIAN FIRCA,0
