Item,ItemDesc,Min Price,
1,F4w/T5/54-765                 , 0.27 ,Sylvania
2,Phased-out, 0 ,Sylvania
3,F4w/T5/33-640                 , 0.27 ,Sylvania
11,F6w/T5/54-765                 , 0.27 ,Sylvania
12,F6w/T5/35-535                 , 1.19 ,Sylvania
13,F6w/T5/33-640                 , 0.27 ,Sylvania
14,F6w/T5/29-530                 , 0.27 ,Sylvania
19,F8w/T5/54-765                 , 0.30 ,Sylvania
20,F8w/T5/35-535                 , 0.30 ,Sylvania
21,F8w/T5/33-640                 , 0.30 ,Sylvania
26,Phased-out, 0 ,Sylvania
29,F13w/T5/54-765                , 0.42 ,Sylvania
30,F13w/T5/35-535                , 1.34 ,Sylvania
31,F13w/T5/33-640                , 0.42 ,Sylvania
32,F13w/T5/29-530                , 0.42 ,Sylvania
39,Phased-out, 0 ,Sylvania
42,F13w/T5/830                   , 1.47 ,Sylvania
43,F14w/Gro  -T8                 , 1.63 ,Sylvania
46,Phased-out, 0 ,Sylvania
47,Phased-out, 0 ,Sylvania
53,Phased-out, 0 ,Sylvania
62,Phased-out, 0 ,Sylvania
69,F15w/T8/Gro                   , 1.73 ,Sylvania
73,F13w/T5/840                   , 1.47 ,Sylvania
82,F15w/T8/Bl368                 , 1.38 ,Sylvania
83,Phased-out, 0 ,Sylvania
85,Phased-out, 0 ,Sylvania
88,F6w/T5/Bl368                  , 1.34 ,Sylvania
89,F8w/T5/Bl368                  , 1.42 ,Sylvania
90,F15w/T5/Bl368                 , 1.43 ,Sylvania
91,"F18w  T8 Bl368 24""            ", 1.52 ,Sylvania
92,"F36w T8 Bl368 24""             ", 1.57 ,Sylvania
93,Phased-out, 0 ,Sylvania
94,Phased-out, 0 ,Sylvania
97,F11w T5 Bl368                 , 1.32 ,Sylvania
98,F30w T8 Bl368                 , 1.78 ,Sylvania
99,"F40w T12 Bl368 48""            ", 2.65 ,Sylvania
100,"Fc32w T9 Bl368 8""             ", 2.43 ,Sylvania
104,Phased-out, 0 ,Sylvania
106,Phased-out, 0 ,Sylvania
107,Phased-out, 0 ,Sylvania
108,Phased-out, 0 ,Sylvania
124,F15w/T8 Bl368 Fep             , 2.67 ,Sylvania
125,F20w/T12 Bl368 Fep            , 5.01 ,Sylvania
126,F40w/T12/2ft Bl368 Fep        , 5.05 ,Sylvania
135,F14W/T8/865                                     , 0.90 ,Sylvania
136,F14W/T8/830                                     , 0.90 ,Sylvania
137,F14W/T8/840                                     , 0.90 ,Sylvania
142,Phased-out, 0 ,Sylvania
144,Phased-out, 0 ,Sylvania
150,F30w/T8/Gro                   , 2.52 ,Sylvania
197,Phased-out, 0 ,Sylvania
199,Phased-out, 0 ,Sylvania
